"Station","time.code","Deer.det","Coyote.det","start.date","end.date","days.available","days.inactive","days.active","Reservation","X","season","phase"
"BE1015","T5",0,2,2017-03-06,2017-03-21,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1015","T6",1,1,2017-03-22,2017-04-06,16,0,16,"Bedford",NA,"spring","winter.forage"
"BE1015","T7",1,1,2017-04-07,2017-04-22,16,0,16,"Bedford",NA,"spring","fawning"
"BE1015","T8",2,1,2017-04-23,2017-05-08,16,0,16,"Bedford",NA,"spring","fawning"
"BE1015","T9",4,0,2017-05-09,2017-05-24,16,0,16,"Bedford",NA,"spring","fawning"
"BE1020","T1",1,4,2017-01-01,2017-01-16,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1020","T10",6,2,2017-05-25,2017-06-09,16,0,16,"Bedford",NA,"spring","fawning"
"BE1020","T11",1,0,2017-06-10,2017-06-25,16,0,16,"Bedford",NA,"spring","fawning"
"BE1020","T12",0,0,2017-06-26,2017-06-30,5,0,5,"Bedford",NA,"summer","fawning"
"BE1020","T13",4,1,2016-07-01,2016-07-10,10,0,10,"Bedford",NA,"summer","summer.forage"
"BE1020","T14",13,3,2016-07-11,2016-07-26,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1020","T15",11,0,2016-07-27,2016-08-11,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1020","T16",5,1,2016-08-12,2016-08-27,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1020","T17",15,3,2016-08-28,2016-09-12,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1020","T18",32,3,2016-09-13,2016-09-28,16,0,16,"Bedford",NA,"autumn","summer.forage"
"BE1020","T19",58,2,2016-09-29,2016-10-14,16,0,16,"Bedford",NA,"autumn","rut"
"BE1020","T2",1,4,2017-01-17,2017-02-01,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1020","T20",13,1,2016-10-15,2016-10-30,16,0,16,"Bedford",NA,"autumn","rut"
"BE1020","T21",8,1,2016-10-31,2016-11-15,16,0,16,"Bedford",NA,"autumn","rut"
"BE1020","T22",10,2,2016-11-16,2016-12-01,16,0,16,"Bedford",NA,"autumn","rut"
"BE1020","T23",1,12,2016-12-02,2016-12-17,16,0,16,"Bedford",NA,"autumn","rut"
"BE1020","T24",1,5,2016-12-18,2016-12-31,14,0,14,"Bedford",NA,"winter","rut"
"BE1020","T3",1,8,2017-02-02,2017-02-17,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1020","T4",1,1,2017-02-18,2017-03-05,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1020","T5",1,4,2017-03-06,2017-03-21,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1020","T6",3,3,2017-03-22,2017-04-06,16,0,16,"Bedford",NA,"spring","winter.forage"
"BE1020","T7",2,0,2017-04-07,2017-04-22,16,0,16,"Bedford",NA,"spring","fawning"
"BE1020","T8",4,0,2017-04-23,2017-05-08,16,0,16,"Bedford",NA,"spring","fawning"
